id,route_number,name,stops_total
1,1,Indiana/Hyde Park,114
2,2,Hyde Park Express,108
3,3,King Drive,213
4,4,Cottage Grove,202
5,6,Jackson Park Express,118
6,7,Harrison,132
7,8,Halsted,220
8,9,Ashland,273
9,10,Museum of S & I,41
10,11,Lincoln/Sedgwick,187
11,12,Roosevelt,131
12,14,Jeffery Express,4
13,15,Jeffery Local,176
14,17,Westchester,71
15,18,16th/18th,106
16,19,United Center Express,17
17,20,Madison,132
18,21,Cermak,145
19,22,Clark,173
20,24,Wentworth,161
21,26,South Shore Express,139
22,28,Stony Island,102
23,29,State,199
24,30,South Chicago,180
25,33,Mag Mile Express,20
26,34,South Michigan,103
27,35,31st/35th,137
28,36,Broadway,165
29,39,Pershing,109
30,43,43rd,70
31,44,Wallace-Racine,149
32,47,47th,149
33,48,South Damen,110
34,49,Western,242
35,50,Damen,176
36,51,51st,73
37,52,Kedzie/California,194
38,53,Pulaski,177
39,54,Cicero,136
40,55,Garfield,137
41,56,Milwaukee,147
42,57,Laramie,64
43,59,59th/61st,136
44,60,Blue Island/26th,136
45,62,Archer,206
46,63,63rd,151
47,64,Foster-Canfield,22
48,65,Grand,164
49,66,Chicago,142
50,67,67th-69th-71st,172
51,68,Northwest Highway,70
52,69,Cumberland/East River,45
53,70,Division,119
54,71,71st/South Shore,157
55,72,North,144
56,73,Armitage,125
57,74,Fullerton,128
58,75,74th-75th,124
59,76,Diversey,143
60,77,Belmont,170
61,78,Montrose,139
62,79,79th,206
63,80,Irving Park,162
64,81,Lawrence,100
65,82,Kimball-Homan,209
66,84,Peterson,68
67,85,Central,139
68,86,Narragansett/Ridgeland,127
69,87,87th,173
70,88,Higgins,62
71,90,Harlem,110
72,91,Austin,148
73,92,Foster,103
74,93,California/Dodge,119
75,94,South California,174
76,96,Lunt,55
77,97,Skokie,119
78,100,Jeffery Manor Express,111
79,103,West 103rd,118
80,106,East 103rd,46
81,108,Halsted/95th,96
82,111,Pullman/111th/115th,172
83,112,Vincennes/111th,100
84,119,Michigan/119th,98
85,120,Ogilvie/Wacker Express,19
86,121,Union/Wacker Express,21
87,122,Illinois Center/Ogilvie Express,12
88,123,Illinois Center/Union Express,13
89,124,Navy Pier,35
90,125,Water Tower Express,37
91,126,Jackson,143
92,128,Soldier Field Express,4
93,129,West Loop/South Loop,87
94,130,Museum Campus,36
95,132,Goose Island Express,27
96,134,Stockton/LaSalle Express,39
97,135,Clarendon/LaSalle Express,62
98,136,Sheridan/LaSalle Express,79
99,143,Stockton/Michigan Express,45
100,144,Marine/Michigan Express,67
101,145,Wilson/Michigan Express,92
102,146,Inner Drive/Michigan Express,108
103,147,Outer Drive Express,94
104,148,Clarendon/Michigan Express,66
105,151,Sheridan,221
106,152,Addison,164
107,155,Devon,50
108,156,LaSalle,91
109,157,Streeterville/Taylor,110
110,165,West 65th,35
111,169,69th-UPS Express,17
112,170,U. of Chicago/Midway,16
113,171,U. of Chicago/Hyde Park,24
114,172,U. of Chicago/Kenwood,26
115,192,U. of Chicago Hospitals Express,9
116,201,Central/Ridge,115
117,205,Chicago/Golf,100
118,206,Evanston Circulator,134
119,302,PACE Ogden - Stanley,4
120,307,PACE Harlem,39
121,318,PACE West North Avenue,22
122,322,PACE Cermak Road - 22nd Street,23
123,755,PACE Plainfield - IMD - West Loop Express,13
124,49A,South Western,103
125,49B,North Western,61
126,52A,South Kedzie,135
127,53A,South Pulaski,152
128,54A,North Cicero/Skokie Blvd.,130
129,54B,South Cicero,104
130,55A,55th/Austin,22
131,55N,55th/Narragansett,39
132,56A,North Milwaukee,54
133,62H,Archer/Harlem,82
134,63W,West 63rd,45
135,81W,West Lawrence,81
136,85A,North Central,69
137,8A,South Halsted,122
138,90N,North Harlem,43
139,95E,93rd-95th,82
140,95W,West 95th,55
141,J14,Jeffrey Jump,63
142,N151,Sheridan Night Owl Service,4
143,N20,Madison Night Owl Service,17
144,N201,Central/Sherman,41
145,N22,Clark Night Owl Service,2
146,N4,Cottage Grove Night Owl Service,12
147,N49,Western Night Owl Service,1
148,N5,South Shore Night Bus Night Owl Service,206
149,N60,Blue Island/26th Night Owl Service,12
150,N62,Archer Night Owl Service,35
151,N66,Chicago Night Owl Service,18
152,N9,Ashland Night Owl Service,43
153,X28,Stony Island Express,126
154,X98,Avon Express,2
