id,on_street,cross_street,routes,routes_total,boardings,alightings,month_beginning,daytype,location
14011,95TH STREET,RED LINE STATION,"34\,119",2,3366.3,3418.3,10/1/12,Weekday,"(41.72229945, -87.62476398)"
17037,JEFFERSON PARK,BLUE LINE STATION/NORTH B,"68\,85A\,88\,92",4,115.8,2580.2,10/1/12,Weekday,"(41.97003140, -87.76215931)"
17379,BELMONT,SHEFFIELD,77,1,715.9,2575,10/1/12,Weekday,"(41.93987010, -87.65306242)"
17038,JEFFERSON PARK,BLUE LINE STATION/SOUTH B,"56\,56A\,81\,81W\,91",5,91.3,2546.3,10/1/12,Weekday,"(41.96982527, -87.76112886)"
17538,KEDZIE,ORANGE LINE STATION,"47\,51\,52\,52A",4,233.8,2542.8,10/1/12,Weekday,"(41.80454793, -87.70462058)"
12713,ADAMS,CANAL,"7\,126\,129\,130\,156",5,326.3,2513.8,10/1/12,Weekday,"(41.87935800, -87.63940100)"
14012,95TH STREET,RED LINE STATION,"9\,95W\,108\,112",4,59.2,2458.5,10/1/12,Weekday,"(41.72210187, -87.62477128)"
1105,MICHIGAN,betw. LAKE & RANDOLPH,"3\,4\,19\,26\,N66\,124\,143\,145\,147\,148\,151\,157",12,1526.6,2405.5,10/1/12,Weekday,"(41.88510400, -87.62461500)"
316,ROOSEVELT,STATE,"12\,18\,130\,146\,192",5,322.2,2370.9,10/1/12,Weekday,"(41.86728699, -87.62711056)"
17097,79TH STREET,RED LINE STATION,79,1,2691.3,2362.7,10/1/12,Weekday,"(41.75089853, -87.62494095)"
1106,MICHIGAN,WASHINGTON,"3\,4\,19\,20\,26\,60\,N66\,124\,143\,145\,147\,148\,151\,157",14,2559.3,2232.8,10/1/12,Weekday,"(41.88341400, -87.62458800)"
6597,FULLERTON,e.of RED/BROWN/PURPLE LIN,"11\,74",2,239.2,2214.8,10/1/12,Weekday,"(41.92532108, -87.65262276)"
1097,MICHIGAN,DELAWARE,"33\,143\,144\,145\,146\,147\,148\,151",8,945.9,2123.7,10/1/12,Weekday,"(41.89934500, -87.62424600)"
14060,LASALLE,MADISON,"134\,135\,136\,156",4,29.7,1968.8,10/1/12,Weekday,"(41.88178988, -87.63246161)"
14009,95TH STREET,RED LINE STATION,"111\,N5",2,1414,1929.3,10/1/12,Weekday,"(41.72247643, -87.62386458)"
17472,HALSTED,79TH STREET,"8\,8A",2,48.2,1850.2,10/1/12,Weekday,"(41.74980413, -87.64370184)"
1125,MICHIGAN,HURON,"3\,10\,26\,33\,125\,143\,144\,145\,146\,147\,148\,151",12,1818.5,1837.3,10/1/12,Weekday,"(41.89479800, -87.62410400)"
1098,MICHIGAN,PEARSON,"10\,33\,125\,143\,144\,145\,146\,147\,148\,151",10,1393.5,1819.3,10/1/12,Weekday,"(41.89773100, -87.62423400)"
76,MICHIGAN,JACKSON,"3\,4\,6\,J14\,26\,143",6,427.4,1794.2,10/1/12,Weekday,"(41.87813500, -87.62419300)"
16140,ROOSEVELT,GREEN/ORANGE/RED LINE,"12\,18\,130\,146\,192",5,3192.1,1777.5,10/1/12,Weekday,"(41.86755162, -87.62666395)"
10178,69TH STREET,RED LINE STATION,"N5\,30\,67",3,1233.8,1771.1,10/1/12,Weekday,"(41.76909300, -87.62580700)"
17508,PULASKI/51ST,ORANGE LINE STATION,53A,1,1330,1760.8,10/1/12,Weekday,"(41.79990861, -87.72469863)"
7858,BELMONT,KIMBALL,77,1,1407.5,1746.5,10/1/12,Weekday,"(41.93920940, -87.71218279)"
448,WASHINGTON,STATE,"N4\,19\,20\,56\,60\,N66\,157",7,151.7,1655.8,10/1/12,Weekday,"(41.88316957, -87.62749695)"
2640,79TH STREET,STATE,79,1,478.3,1621.8,10/1/12,Weekday,"(41.75113649, -87.62439816)"
5009,CANAL,ADAMS,"60\,124\,125\,128\,132\,157\,192",7,2433.6,1613.1,10/1/12,Weekday,"(41.87919465, -87.63945989)"
1155,SHERIDAN,BELMONT,"135\,145\,146\,151",4,331.1,1612.4,10/1/12,Weekday,"(41.94037175, -87.63947904)"
14488,MICHIGAN,SUPERIOR,"3\,10\,26\,33\,125\,143\,144\,145\,146\,147\,148\,151",12,1772.7,1605,10/1/12,Weekday,"(41.89582302, -87.62442248)"
1104,MICHIGAN,SOUTH WATER,"3\,26\,N66\,143\,145\,147\,148\,151\,157",9,617.3,1551.1,10/1/12,Weekday,"(41.88690443, -87.62468060)"
14485,MICHIGAN,CONGRESS,"1\,3\,4\,6\,J14\,26\,X28\,129",8,442.7,1531.4,10/1/12,Weekday,"(41.87554020, -87.62412630)"
1119,MICHIGAN,RANDOLPH,"3\,6\,19\,20\,26\,N66\,143\,147\,151\,157",10,2096.9,1530.8,10/1/12,Weekday,"(41.88468794, -87.62431755)"
617,CHICAGO,MAY/MILWAUKEE/BLUE LINE,66,1,904,1515.1,10/1/12,Weekday,"(41.89635265, -87.65510772)"
3429,63RD STREET,YALE,63,1,331.6,1513.6,10/1/12,Weekday,"(41.77988000, -87.63190400)"
2188,MICHIGAN,MADISON,"3\,4\,6\,26\,143",5,300.3,1508.5,10/1/12,Weekday,"(41.88236700, -87.62420500)"
7947,BELMONT,KIMBALL,77,1,1829.2,1488.1,10/1/12,Weekday,"(41.93904065, -87.71219575)"
455,MADISON,CLINTON,"J14\,19\,20\,56\,192",5,807.7,1476.9,10/1/12,Weekday,"(41.88194735, -87.64104342)"
2982,95TH STREET,MICHIGAN,"N5\,34\,95E\,100\,103\,106\,111\,119",8,63.7,1439.7,10/1/12,Weekday,"(41.72187674, -87.62102781)"
1127,MICHIGAN,CHESTNUT,"33\,143\,144\,145\,146\,147\,148\,151",8,2595.3,1434.3,10/1/12,Weekday,"(41.89806900, -87.62396000)"
2774,79TH STREET,RED LINE STATION,75,1,1331,1418.4,10/1/12,Weekday,"(41.75089638, -87.62540411)"
14140,69TH BUS BRIDGE,RED LINE STATION,71,1,1419.3,1405.5,10/1/12,Weekday,"(41.76881160, -87.62599095)"
